democracy,pcgnp
.3,.3099999588477366
0,.3099999588477366
16.8,.3099999588477366
0,.3109999588477366
0,.3109999588477366
0,.3129999588477366
8.5,.3129999588477366
16.2,.3139999588477366
0,.3149999588477366
0,.3169999588477366
0,.3169999588477366
.3,.3199999588477366
18.6,.3199999588477366
0,.3199999588477366
0,.3199999588477366
0,.3209999588477366
0,.3219999588477366
0,.3219999588477366
0,.3219999588477366
0,.323
10,.323
0,.323
0,.323
0,.3239999588477366
0,.3249999588477366
0,.3259999588477366
0,.3259999588477366
18.6,.3259999588477366
2,.3279999588477366
0,.3279999588477366
1.6,.3289999588477366
0,.33
0,.33
8.5,.33
0,.33
0,.3309999588477366
0,.3329999588477366
0,.3379999588477366
0,.3389999588477366
0,.3399999588477366
.1,.3399999588477366
0,.3399999588477366
0,.3399999588477366
0,.3399999588477366
0,.3459999588477366
0,.3469999588477366
0,.3469999588477366
2.3,.3479999588477366
0,.3489999588477366
0,.3499999588477366
0,.3499999588477366
0,.3499999588477366
0,.351
0,.351
0,.351
16.8,.3539999588477366
0,.3579999588477366
0,.3579999588477366
7.7,.3589999588477366
1.2,.3589999588477366
0,.36
0,.36
10,.36
0,.3609999588477366
2.3,.3659999588477366
0,.3689999588477366
0,.3689999588477366
0,.3699999588477366
.3,.3699999588477366
0,.3709999588477366
9.699999999999999,.372
.8,.3779999588477366
2.4,.3799999588477366
0,.3799999588477366
0,.381
0,.3819999588477366
9.699999999999999,.3839999588477366
0,.3849999588477366
2.9,.3859999588477366
0,.388
0,.3899999588477366
2.1,.3909999588477366
11.7,.3929999588477366
.1,.3929999588477366
0,.3939999588477366
0,.3959999588477366
0,.397
0,.3989999588477366
2.4,.4
18.6,.4
0,.4009999176954733
18.6,.4019999588477366
.1,.4039999588477367
18.6,.4049999588477367
1.6,.4059999176954733
1.6,.4059999176954733
1.6,.4059999176954733
18.6,.4089999588477366
15,.4099999588477366
.1,.4109999588477366
0,.4119999588477366
0,.4139999588477366
0,.4139999588477366
0,.4139999588477366
2.9,.4159999588477366
.3,.4179999588477366
0,.4219999176954732
7.6,.4219999176954732
0,.4229999588477366
0,.4229999588477366
2.9,.4259999588477366
16.8,.4379999588477366
1.6,.4399999588477366
2.4,.4399999588477366
0,.4419999588477366
1.2,.4429999176954733
.3,.4439999588477366
0,.4439999588477366
0,.4449999176954733
0,.4459999588477366
2.9,.4459999588477366
7.7,.4499999176954733
8.199999999999999,.4509999588477366
16.8,.4509999588477366
0,.4519999176954733
1.6,.4559999588477366
0,.4559999588477366
7.7,.4579999588477366
0,.4599999588477366
2.4,.4599999588477366
1.1,.4599999588477366
0,.4609999588477366
0,.4659999176954733
0,.4669999588477367
0,.4669999588477367
16.8,.4679999588477367
0,.4689999588477367
1.6,.4699999588477366
.3,.4699999588477366
3.3,.4709999176954732
0,.4719999588477366
3.3,.4759999588477366
0,.4789999588477366
3.3,.4799999176954732
0,.4799999176954732
0,.4799999176954732
0,.4819999588477366
0,.4869999176954732
0,.4889999588477366
14.2,.4899999588477366
0,.4899999588477366
1.1,.4909999588477366
0,.4959999588477366
19.2,.4999999588477366
0,.5009999588477366
0,.503
1.1,.5049999588477366
0,.5049999588477366
0,.5049999588477366
1.6,.507
0,.508
15,.5099999588477366
0,.5099999588477366
2.4,.5099999588477366
0,.5149999588477366
0,.5199999588477366
0,.523
1.2,.527
7.6,.5349999588477367
1.1,.5349999588477367
14.2,.5409999588477367
8.300000000000001,.5419999588477367
1.1,.5479999176954733
15,.5499999588477367
1.1,.5499999588477367
0,.5509999588477367
14.2,.5529999176954733
0,.5569999176954733
1.2,.5609999588477367
0,.5619999176954733
5,.5679999588477366
15,.5699999176954732
1.6,.5699999176954732
.7,.5719999588477366
0,.5779999176954732
5,.5789999176954732
11.7,.5789999176954732
19.2,.5799999176954732
17,.5889999176954732
19.2,.5899998765432098
17,.5899998765432098
12.3,.5919999176954732
16.8,.5969999176954732
0,.5979999176954732
12.3,.6
0,.6
19.2,.6
1,.6029999588477366
1,.6039999176954732
1,.6039999176954732
1.1,.6039999176954732
0,.6079999176954732
4,.609
0,.6099999588477366
0,.6189999588477366
4,.6199999588477366
4,.6299999588477366
0,.6329999588477366
0,.6349999176954733
12.3,.6399999176954733
0,.6399999176954733
2.9,.6439999176954733
14.2,.6469999588477366
12.3,.6469999588477366
14.2,.6549999176954733
0,.6599999588477367
14.2,.6599999588477367
.3,.6719999588477367
0,.6729999176954733
25.3,.6769999588477367
0,.6779999176954733
12.3,.6799999588477367
0,.6819999588477367
8.300000000000001,.6819999588477367
.3,.6849999588477367
1,.6859999588477367
14.2,.6889999588477366
18.7,.6899999588477366
3.5,.6909999588477366
0,.6999999588477366
0,.7019999588477366
0,.7049999176954732
0,.7069999588477366
0,.7089999176954732
1,.7139999176954732
0,.7149999176954732
0,.7159999588477366
14.1,.7179999176954732
25.3,.7179999176954732
.3,.7179999176954732
17.3,.7209999588477366
5,.7239999176954732
0,.7249999588477366
0,.7279999176954732
3.5,.7309999176954732
0,.7309999176954732
8.300000000000001,.7329999176954732
0,.734
.3,.734
0,.7429999176954732
0,.7429999176954732
14.1,.744
0,.744
.3,.7489999588477366
0,.7489999588477366
17.3,.7519999176954733
25.3,.7579999588477366
5,.7589999588477366
0,.7599999588477366
25.3,.762
0,.7669999588477366
0,.7669999588477366
14.1,.7689999176954733
3.5,.7699999176954733
.3,.7699999176954733
0,.7749999176954733
5.1,.7829999176954733
14.1,.7839999176954733
0,.7859999588477367
0,.7899999588477367
1,.7899999588477367
0,.7899999588477367
5,.7899999588477367
32.8,.7939999588477367
4.3,.7989999588477367
4.3,.8099999176954733
21.9,.8109999176954733
17.3,.8119998765432099
6.6,.8139999176954732
4.3,.8139999176954732
18.7,.8159998765432098
14.1,.8199999176954732
13.6,.8209998765432098
21.9,.8259998765432098
0,.8289999176954732
1,.8309998765432098
13.6,.8309998765432098
0,.8339999176954732
0,.8369999588477366
13.6,.8399999176954732
25.3,.8399999176954732
0,.8449999588477366
14.8,.8449999588477366
14.8,.8449999588477366
0,.8469999588477366
0,.8689999176954732
1,.8719998765432099
4.1,.8799999176954733
4.1,.8829999176954733
4.1,.8859998765432099
5.1,.8879999176954733
0,.8929999176954733
0,.8939999176954733
0,.8979999176954733
0,.9019999588477366
0,.9029999588477367
0,.9139999176954733
0,.9189999588477367
4.1,.9189999588477367
0,.9199999588477367
2.9,.9209999588477367
17,.9229999176954733
0,.9239999588477367
13.6,.9249999588477367
6.9,.9279999176954733
0,.9349999176954733
16.8,.9399999176954732
14.3,.9399999176954732
0,.9399999176954732
14.8,.9449999176954732
0,.9499999176954732
0,.9499999176954732
0,.9519999176954732
6.9,.9559998765432098
0,.9699999588477366
0,.9749999588477366
2.9,.9799999588477366
6.9,.9829999176954732
12.8,.9839999588477366
14.3,.9879999176954732
0,.9899999588477366
0,.9929999176954732
14.6,.9929999176954732
0,.9989999588477366
0,1
0,1
0,1.006
26.2,1.011
0,1.014
18.2,1.016
0,1.018
17,1.029999958847737
14.3,1.034999958847737
2.9,1.037999958847737
14.8,1.044
14.6,1.049
12.7,1.055999958847737
0,1.062
12.7,1.064
12.7,1.065999958847737
14.6,1.069
0,1.07
0,1.070999958847737
0,1.077999917695473
18.2,1.08
0,1.095
5.6,1.095999917695473
12.8,1.096999958847737
17,1.103
2.9,1.105
0,1.105999917695473
22.7,1.108
0,1.108
15.3,1.11
0,1.115
5.6,1.118
0,1.118999917695473
0,1.121
2.9,1.124999958847737
26.2,1.131
10.2,1.131
12.7,1.133
0,1.139999958847737
14.6,1.142999958847737
0,1.147999958847737
15.3,1.152999958847737
0,1.154
0,1.156
22.7,1.156
0,1.156999917695473
0,1.166
0,1.169999917695473
15.5,1.174999917695473
0,1.179999917695473
6.9,1.182
14.6,1.184999917695473
22.7,1.185999958847737
0,1.19
0,1.195999958847737
0,1.2
11.6,1.21
12.7,1.21
0,1.216999958847737
15.5,1.218
6.6,1.225
0,1.230999917695473
0,1.234999958847737
18.8,1.249999958847737
9.9,1.251
15,1.256999917695473
0,1.257999958847737
17,1.259999958847737
22.7,1.264
0,1.274
12.8,1.276
0,1.284999917695473
10.2,1.289999917695473
6.6,1.292
